time_ps,MSD_A2,temperature_K,potential_energy_eV
0.0,0.0,265.6046251646739,-98.40192
0.01,0.0,265.6046251646739,-98.40192
0.02,0.06961168657251185,300.31960737598996,-98.534195
0.03,0.30021393182050754,337.9261547907661,-98.63326
0.04,0.5139526860768728,296.1361609124582,-98.56114
0.05,0.6890056893572201,297.0888870762134,-98.51017
0.06,0.8855731341610367,272.2821345081217,-98.47729
0.07,1.2810200693164815,259.75076057819007,-98.38274
0.08,1.5713068789202782,242.666887266542,-98.33311
0.09,1.8144377469662811,242.24151278806494,-98.445496
0.1,2.0413160131414227,267.2037037745885,-98.49435
0.11,2.0933420567286563,281.0086648664159,-98.539444
0.12,2.0287272950158024,297.4448146191675,-98.58196
0.13,1.964721271170073,281.0436660239433,-98.54881
0.14,1.8767613133453116,285.93119920592613,-98.479546
0.15,2.0303501287277603,273.94893348613266,-98.391685
0.16,2.1302226928743466,261.1538332051997,-98.31845
0.17,1.8302419405942987,267.23753239944153,-98.40075
0.18,1.5793019210454207,282.4402713326715,-98.46652
0.19,1.6336336985119324,292.1317119879381,-98.53217
0.2,2.0417378474364547,284.833519446771,-98.54281
0.21,2.468612164439153,313.1244795770496,-98.4306
0.22,2.281756566625928,327.5865432869699,-98.45985
0.23,2.075191748021381,330.4340261934025,-98.361694
0.24,1.9148404918653241,309.2536376160836,-98.25604
0.25,1.7183355408147074,290.1600712937929,-98.09683
0.26,1.5846666543487342,278.60945955682166,-98.0442
0.27,1.5223638129928325,292.37042047922995,-98.03794
0.28,1.6273113238060226,327.6623579248624,-98.16563
0.29,1.6566135421152883,313.78421429478215,-98.18116
0.3,1.5862044749287105,309.3203253609775,-98.29991
0.31,1.75148696327363,336.7488962637716,-98.426956
0.32,1.9299611957612772,333.2927770112942,-98.51468
0.33,1.9453307116902074,342.9791155958373,-98.71501
0.34,2.1736047779038787,320.8944645418476,-98.669044
0.35,2.6390675653075277,304.08057182288474,-98.726555
0.36,3.248077530530212,265.6324976154438,-98.63326
0.37,3.874359489907288,300.6659307416918,-98.61111
0.38,4.307955591787568,303.0457623621612,-98.58911
0.39,5.165752775426612,307.57724911545574,-98.71479
0.4,5.8972044523057345,296.74527715572395,-98.70843
0.41,6.328664139693918,302.47948420767545,-98.63588
0.42,5.94218644865091,320.29064157485857,-98.55202
0.43,5.8299651245791955,275.7705392324234,-98.43466
0.44,6.023872196938195,294.9837151084512,-98.47286
0.45,6.6090497383849005,280.022679598746,-98.585495
0.46,7.2190279600293,310.1729982270916,-98.63035
0.47,7.60547174417304,285.3619013750144,-98.68696
0.48,8.173272366252743,250.09009093959946,-98.530655
0.49,8.676433346770615,237.7330893038984,-98.50212
0.5,8.74997832031237,242.32881578855807,-98.401405
0.51,9.039279579483287,264.2227597010754,-98.44136
