time_ps,MSD_A2,temperature_K,potential_energy_eV
0.0,0.0,602.4305636601811,-96.77704
0.01,0.0,602.4305636601811,-96.77704
0.02,0.27885557441408876,579.3506051103406,-96.75518
0.03,0.9917869520378407,454.51683709062985,-96.32788
0.04,1.267995994147776,515.7433721638922,-96.78063
0.05,1.5676907483056197,517.9872650908978,-97.01941
0.06,2.148724191623111,559.530442717465,-96.92636
0.07,2.8639995763806607,595.7291420054443,-97.049255
0.08,3.773524464077725,584.8690230692747,-96.99117
0.09,4.001454886443597,619.6408543261149,-96.89976
0.1,3.8274211633393893,566.3711114956138,-96.57218
0.11,4.303179765798966,606.646955999987,-96.57473
0.12,4.941945664373899,623.3015219412096,-96.15776
0.13,5.487942930528964,589.8931458438117,-96.17452
0.14,6.50259830488865,543.0359683749541,-96.012245
0.15,7.044915755153976,567.991478482425,-95.82014
0.16,7.348381093796246,544.5273165469418,-95.725426
0.17,7.5589969009005635,589.1804430627309,-95.5617
0.18,7.2962466309589225,607.6428231543983,-95.78648
0.19,7.151324532872584,672.0526809962823,-95.93362
0.2,7.594176285291532,822.8956514223371,-96.613014
0.21,9.033996672670057,833.0504903536524,-96.76687
0.22,11.476614511157354,777.617246187231,-96.15742
0.23,10.843238256295901,679.5211812275342,-95.78757
0.24,9.70494519632549,682.4614324602034,-95.47916
0.25,9.293798021446971,676.9680631588204,-95.43405
0.26,9.514880050792044,689.1066245079668,-95.590034
0.27,10.137488724103472,631.5021644374879,-95.28053
0.28,12.589942307911905,667.788193420132,-95.144104
0.29,13.251984201978914,652.4275470427692,-95.41783
0.3,14.215026367392618,746.3444373317183,-95.74953
0.31,15.007320833634964,671.0246053329631,-95.6436
0.32,16.588554027428923,720.3124786580482,-95.38106
0.33,18.794769447190667,655.3969733531859,-94.53293
0.34,19.16387563938467,717.1343705671211,-94.92496
0.35,19.41118258890085,815.9549585739209,-95.41118
0.36,19.496533138297888,823.92172254479,-95.30465
0.37,18.310653447322487,832.4706043372602,-95.401215
0.38,18.07768912660793,791.9306115652836,-95.19229
0.39,18.289004603826072,770.3142556315564,-95.046486
0.4,18.171514797055686,764.4630357836019,-95.05628
0.41,17.570547686214976,753.2704302342006,-95.13534
0.42,17.24477453331031,746.7890031835639,-95.03242
0.43,16.790659503026937,793.7691166479822,-95.3751
0.44,17.82908016848957,805.8054460715394,-95.420265
0.45,19.616887719402605,796.3480289074906,-95.437965
0.46,21.13466833634958,811.622577592552,-95.544266
0.47,24.22222015680158,821.5682471803101,-95.380516
0.48,26.751557484368174,726.2738893683461,-94.97047
0.49,27.113684971502494,700.2942685444503,-95.046936
0.5,27.510566436711095,744.8747579137088,-95.242874
0.51,28.43485887214561,691.633856730182,-95.3698
