time_ps,MSD_A2,temperature_K,potential_energy_eV
0.0,0.0,433.10959819247444,-97.30725
0.01,0.0,433.10959819247444,-97.30725
0.02,0.17516471616274648,393.3895939863593,-96.9137
0.03,0.261426637002447,451.7348611148309,-97.04395
0.04,0.4116067597597776,508.9551921361558,-97.17299
0.05,0.8720479116804187,538.7488267199766,-97.418205
0.06,1.5484328972497887,570.7011985275248,-97.39338
0.07,2.1131308691051736,540.480090175456,-97.3911
0.08,2.592318665048022,451.70330830567036,-97.0598
0.09,2.6918823642598375,494.0447575040504,-97.067245
0.1,2.9633035624970474,521.269806660578,-97.097855
0.11,3.014270694431115,487.78374373496126,-97.00712
0.12,2.7366553767324078,523.0673869409148,-97.2023
0.13,2.7593401806973255,506.82115107373926,-97.164215
0.14,3.0405455971801425,527.1908271662402,-97.29692
0.15,3.5067932458259334,510.7822205241392,-96.87973
0.16,3.954499536264769,500.64443150940707,-96.78928
0.17,3.9615774091421283,555.2372210224547,-96.68512
0.18,4.230091503588866,534.6930805311257,-96.70596
0.19,4.060217206056546,484.46003340943247,-96.57736
0.2,3.5775954308174667,443.07774619853416,-96.61104
0.21,3.1915365360775514,453.16023928140936,-96.752144
0.22,2.7948530079761325,544.447924840215,-97.07017
0.23,2.509685466729371,522.5219202081806,-97.223946
0.24,2.0961971610065877,572.4760621327848,-97.53376
0.25,1.674971123904101,563.1103961328395,-97.58847
0.26,1.54209488529923,565.5884104950572,-97.22291
0.27,1.91261917803703,471.61896177060964,-96.778946
0.28,2.1843013805624643,482.4674537834747,-96.549286
0.29,2.2623858759846276,503.31167289138557,-96.71044
0.3,2.8018378316649057,560.6622598247029,-97.012
0.31,3.256426063662193,592.2059141673114,-97.17385
0.32,3.2286271848693553,577.9465896391097,-97.24284
0.33,3.8358916674804338,526.3682213880339,-97.17861
0.34,4.536838429814786,475.68587981109977,-97.02877
0.35,5.201353691823545,438.34767042589687,-96.97035
0.36,5.8460888951034224,457.7973722634114,-96.9503
0.37,7.119636603583031,465.57180653705774,-96.92369
0.38,7.536601236268798,462.6269348075323,-96.843994
0.39,7.439555847777962,412.3992805559258,-96.64025
0.4,7.2466316811863285,471.37739640194224,-96.6791
0.41,7.16058972944613,425.6213631522175,-96.79594
0.42,7.371366833338655,431.353148242721,-96.864586
0.43,7.284516859938773,454.22261368766715,-96.91484
0.44,7.08260070832811,459.09155187835796,-97.004486
0.45,7.302756000588136,520.0480145821832,-97.35451
0.46,7.481410920246376,536.9798740081533,-97.62633
0.47,8.108211184475795,500.8024351079237,-97.68372
0.48,8.843217004297129,510.57202076255237,-97.568825
0.49,9.751249061794104,512.7497288314613,-97.45353
0.5,10.742001425560254,397.79232148969714,-97.0787
0.51,10.795523995476785,429.8493353991523,-96.91049
