Set temperature (K),Trajectory length (ps),Mean temperature (K),Temperature std (K),Final MSD (Å²),Diagnostic D (cm²/s),Diagnostic fit R²
300,0.5,291.29057595444493,26.828442661499032,9.039279579483289,0.00036263041850366463,0.7460143477006875
480,0.5,495.62097744968816,49.90317372590207,10.795523995476785,0.0004733645481738229,0.8278775424662733
673,0.5,681.4764278706763,99.87325576902066,28.43485887214561,0.0007369551328487202,0.7317714504996432
